Offset MPU6050
Tiempo total: 1002
Offset AcX = 366.83 | Offset AcY = 4039.03 | Offset AcZ = 342.28
Offset GiX = -65.11 | Offset GiY = -37.98 | Offset GiZ = 5.20
Resultados MPU6050
AcX = 304.00 | AcY = 3795.00 | AcZ = 314.00 | GiX = -121.00 | GiY = 544.00 | GiZ = -875.00 | Tiempo: 54466
AcX = 279.00 | AcY = 3858.00 | AcZ = 321.00 | GiX = -96.00 | GiY = 617.00 | GiZ = -974.00 | Tiempo: 54961
AcX = 336.00 | AcY = 3877.00 | AcZ = 354.00 | GiX = -61.00 | GiY = 702.00 | GiZ = -1043.00 | Tiempo: 55456
AcX = 412.00 | AcY = 3922.00 | AcZ = 514.00 | GiX = -35.00 | GiY = 689.00 | GiZ = -1126.00 | Tiempo: 55951
AcX = 440.00 | AcY = 3959.00 | AcZ = 599.00 | GiX = 46.00 | GiY = 687.00 | GiZ = -1110.00 | Tiempo: 56446
AcX = 387.00 | AcY = 3881.00 | AcZ = 412.00 | GiX = 108.00 | GiY = 769.00 | GiZ = -1153.00 | Tiempo: 56941
AcX = 521.00 | AcY = 3766.00 | AcZ = 533.00 | GiX = 195.00 | GiY = 956.00 | GiZ = -1196.00 | Tiempo: 57436
AcX = 730.00 | AcY = 3640.00 | AcZ = 565.00 | GiX = 352.00 | GiY = 1107.00 | GiZ = -1424.00 | Tiempo: 57931
AcX = 837.00 | AcY = 3631.00 | AcZ = 726.00 | GiX = 564.00 | GiY = 1252.00 | GiZ = -1764.00 | Tiempo: 58426
AcX = 965.00 | AcY = 3535.00 | AcZ = 890.00 | GiX = 834.00 | GiY = 1291.00 | GiZ = -1918.00 | Tiempo: 58921
AcX = 1120.00 | AcY = 3213.00 | AcZ = 777.00 | GiX = 1026.00 | GiY = 1377.00 | GiZ = -2048.00 | Tiempo: 59416
AcX = 1450.00 | AcY = 2879.00 | AcZ = 915.00 | GiX = 1154.00 | GiY = 1478.00 | GiZ = -2282.00 | Tiempo: 59911
AcX = 1835.00 | AcY = 2674.00 | AcZ = 994.00 | GiX = 1326.00 | GiY = 1393.00 | GiZ = -2731.00 | Tiempo: 60406
AcX = 2031.00 | AcY = 2536.00 | AcZ = 1101.00 | GiX = 1613.00 | GiY = 1349.00 | GiZ = -3228.00 | Tiempo: 60901
AcX = 2334.00 | AcY = 2240.00 | AcZ = 1197.00 | GiX = 2022.00 | GiY = 1414.00 | GiZ = -3728.00 | Tiempo: 61396
AcX = 2737.00 | AcY = 1695.00 | AcZ = 1235.00 | GiX = 2299.00 | GiY = 1326.00 | GiZ = -4215.00 | Tiempo: 61891
AcX = 2955.00 | AcY = 1228.00 | AcZ = 1372.00 | GiX = 2456.00 | GiY = 1037.00 | GiZ = -4943.00 | Tiempo: 62386
AcX = 2980.00 | AcY = 1083.00 | AcZ = 1378.00 | GiX = 2527.00 | GiY = 684.00 | GiZ = -5638.00 | Tiempo: 62881
