Offset MPU6050
Tiempo total: 1001
Offset AcX = 895.13 | Offset AcY = 3961.74 | Offset AcZ = 247.57
Offset GiX = -307.53 | Offset GiY = 9.32 | Offset GiZ = 13.84
Resultados MPU6050
AcX = -188.00 | AcY = 3609.00 | AcZ = 1295.00 | GiX = -7365.00 | GiY = 10536.00 | GiZ = -8095.00 | Tiempo: 53970
AcX = -317.00 | AcY = 3561.00 | AcZ = 1277.00 | GiX = -6898.00 | GiY = 10431.00 | GiZ = -7987.00 | Tiempo: 54465
AcX = -337.00 | AcY = 3547.00 | AcZ = 1363.00 | GiX = -6298.00 | GiY = 10120.00 | GiZ = -7880.00 | Tiempo: 54960
AcX = -439.00 | AcY = 3509.00 | AcZ = 1366.00 | GiX = -5824.00 | GiY = 10107.00 | GiZ = -7849.00 | Tiempo: 55455
AcX = -457.00 | AcY = 3359.00 | AcZ = 1462.00 | GiX = -5440.00 | GiY = 9931.00 | GiZ = -7818.00 | Tiempo: 55950
AcX = -494.00 | AcY = 3206.00 | AcZ = 1509.00 | GiX = -5178.00 | GiY = 9644.00 | GiZ = -7701.00 | Tiempo: 56445
AcX = -186.00 | AcY = 2868.00 | AcZ = 1428.00 | GiX = -5088.00 | GiY = 9396.00 | GiZ = -8033.00 | Tiempo: 56940
AcX = -494.00 | AcY = 2934.00 | AcZ = 1662.00 | GiX = -4880.00 | GiY = 8850.00 | GiZ = -7503.00 | Tiempo: 57435
AcX = -781.00 | AcY = 2814.00 | AcZ = 1550.00 | GiX = -4595.00 | GiY = 9211.00 | GiZ = -7347.00 | Tiempo: 57930
AcX = -892.00 | AcY = 2736.00 | AcZ = 1703.00 | GiX = -4347.00 | GiY = 8638.00 | GiZ = -7242.00 | Tiempo: 58425
AcX = -986.00 | AcY = 2714.00 | AcZ = 1691.00 | GiX = -3983.00 | GiY = 8759.00 | GiZ = -7027.00 | Tiempo: 58920
AcX = -857.00 | AcY = 2616.00 | AcZ = 1865.00 | GiX = -3642.00 | GiY = 8059.00 | GiZ = -7045.00 | Tiempo: 59415
AcX = -1011.00 | AcY = 2720.00 | AcZ = 1835.00 | GiX = -3159.00 | GiY = 7885.00 | GiZ = -7018.00 | Tiempo: 59910
AcX = -990.00 | AcY = 2663.00 | AcZ = 2040.00 | GiX = -2820.00 | GiY = 7033.00 | GiZ = -6904.00 | Tiempo: 60405
AcX = -1112.00 | AcY = 2732.00 | AcZ = 1822.00 | GiX = -2607.00 | GiY = 7441.00 | GiZ = -6935.00 | Tiempo: 60900
