Offset MPU6050
Tiempo total: 1002
Offset AcX = -13.51 | Offset AcY = 2031.55 | Offset AcZ = 64.69
Offset GiX = -18.70 | Offset GiY = -8.49 | Offset GiZ = 23.50
Resultados MPU6050
AcX = 733.00 | AcY = 472.00 | AcZ = 492.00 | GiX = 1565.00 | GiY = -87.00 | GiZ = -1919.00 | Tiempo: 51495
AcX = 643.00 | AcY = 347.00 | AcZ = 484.00 | GiX = 1615.00 | GiY = -123.00 | GiZ = -2035.00 | Tiempo: 51990
AcX = 731.00 | AcY = 155.00 | AcZ = 469.00 | GiX = 1690.00 | GiY = -108.00 | GiZ = -2154.00 | Tiempo: 52485
AcX = 808.00 | AcY = -37.00 | AcZ = 488.00 | GiX = 1736.00 | GiY = -156.00 | GiZ = -2301.00 | Tiempo: 52980
AcX = 765.00 | AcY = -168.00 | AcZ = 536.00 | GiX = 1780.00 | GiY = -223.00 | GiZ = -2501.00 | Tiempo: 53475
AcX = 782.00 | AcY = -276.00 | AcZ = 547.00 | GiX = 1842.00 | GiY = -306.00 | GiZ = -2633.00 | Tiempo: 53970
AcX = 862.00 | AcY = -505.00 | AcZ = 454.00 | GiX = 1898.00 | GiY = -441.00 | GiZ = -2663.00 | Tiempo: 54465
AcX = 965.00 | AcY = -863.00 | AcZ = 390.00 | GiX = 1889.00 | GiY = -592.00 | GiZ = -2638.00 | Tiempo: 54960
AcX = 1106.00 | AcY = -1165.00 | AcZ = 364.00 | GiX = 1812.00 | GiY = -779.00 | GiZ = -2641.00 | Tiempo: 55455
AcX = 1207.00 | AcY = -1436.00 | AcZ = 318.00 | GiX = 1627.00 | GiY = -1068.00 | GiZ = -2636.00 | Tiempo: 55950
AcX = 1175.00 | AcY = -1566.00 | AcZ = 178.00 | GiX = 1391.00 | GiY = -1293.00 | GiZ = -2763.00 | Tiempo: 56445
AcX = 1237.00 | AcY = -1639.00 | AcZ = 151.00 | GiX = 1220.00 | GiY = -1389.00 | GiZ = -2968.00 | Tiempo: 56940
AcX = 1357.00 | AcY = -1717.00 | AcZ = 193.00 | GiX = 1040.00 | GiY = -1592.00 | GiZ = -3160.00 | Tiempo: 57435
AcX = 1053.00 | AcY = -1489.00 | AcZ = 384.00 | GiX = 854.00 | GiY = -1906.00 | GiZ = -3304.00 | Tiempo: 57930
AcX = 555.00 | AcY = -967.00 | AcZ = 425.00 | GiX = 767.00 | GiY = -2119.00 | GiZ = -3363.00 | Tiempo: 58425
AcX = 430.00 | AcY = -712.00 | AcZ = 393.00 | GiX = 884.00 | GiY = -2114.00 | GiZ = -3336.00 | Tiempo: 58920
AcX = 448.00 | AcY = -758.00 | AcZ = 408.00 | GiX = 1150.00 | GiY = -2178.00 | GiZ = -3375.00 | Tiempo: 59415
AcX = 193.00 | AcY = -993.00 | AcZ = 350.00 | GiX = 1397.00 | GiY = -2230.00 | GiZ = -3628.00 | Tiempo: 59910
AcX = 102.00 | AcY = -1303.00 | AcZ = 270.00 | GiX = 1528.00 | GiY = -2196.00 | GiZ = -3925.00 | Tiempo: 60405
AcX = -179.00 | AcY = -1591.00 | AcZ = 249.00 | GiX = 1456.00 | GiY = -2324.00 | GiZ = -4135.00 | Tiempo: 60900
AcX = -883.00 | AcY = -1310.00 | AcZ = 203.00 | GiX = 1252.00 | GiY = -2461.00 | GiZ = -4201.00 | Tiempo: 61395
AcX = -1090.00 | AcY = -1116.00 | AcZ = 204.00 | GiX = 1148.00 | GiY = -2384.00 | GiZ = -4038.00 | Tiempo: 61890
AcX = -1236.00 | AcY = -899.00 | AcZ = 237.00 | GiX = 1035.00 | GiY = -2587.00 | GiZ = -3522.00 | Tiempo: 62385
AcX = -1467.00 | AcY = -797.00 | AcZ = 252.00 | GiX = 1007.00 | GiY = -2717.00 | GiZ = -2956.00 | Tiempo: 62880
AcX = -1268.00 | AcY = -790.00 | AcZ = 422.00 | GiX = 953.00 | GiY = -2815.00 | GiZ = -2464.00 | Tiempo: 63375
AcX = -1382.00 | AcY = -567.00 | AcZ = 793.00 | GiX = 981.00 | GiY = -3057.00 | GiZ = -2562.00 | Tiempo: 63870
AcX = -1935.00 | AcY = -146.00 | AcZ = 911.00 | GiX = 1238.00 | GiY = -3288.00 | GiZ = -3090.00 | Tiempo: 64365
AcX = -2764.00 | AcY = -54.00 | AcZ = 933.00 | GiX = 1895.00 | GiY = -3283.00 | GiZ = -3859.00 | Tiempo: 64860
AcX = -3517.00 | AcY = -491.00 | AcZ = 635.00 | GiX = 2560.00 | GiY = -3153.00 | GiZ = -4356.00 | Tiempo: 65355
AcX = -3924.00 | AcY = -1347.00 | AcZ = 392.00 | GiX = 2704.00 | GiY = -3230.00 | GiZ = -3844.00 | Tiempo: 65850
AcX = -4403.00 | AcY = -1913.00 | AcZ = 209.00 | GiX = 2193.00 | GiY = -3414.00 | GiZ = -2797.00 | Tiempo: 66345
AcX = -4414.00 | AcY = -1844.00 | AcZ = 174.00 | GiX = 1228.00 | GiY = -3378.00 | GiZ = -1513.00 | Tiempo: 66840
AcX = -4108.00 | AcY = -1424.00 | AcZ = 344.00 | GiX = 540.00 | GiY = -3378.00 | GiZ = -715.00 | Tiempo: 67335
AcX = -4098.00 | AcY = -729.00 | AcZ = 678.00 | GiX = 300.00 | GiY = -3253.00 | GiZ = -842.00 | Tiempo: 67830
AcX = -4467.00 | AcY = -99.00 | AcZ = 1070.00 | GiX = 613.00 | GiY = -2980.00 | GiZ = -1538.00 | Tiempo: 68325
AcX = -4909.00 | AcY = 228.00 | AcZ = 1367.00 | GiX = 1276.00 | GiY = -2615.00 | GiZ = -2172.00 | Tiempo: 68820
AcX = -5166.00 | AcY = 241.00 | AcZ = 1391.00 | GiX = 1885.00 | GiY = -2370.00 | GiZ = -2363.00 | Tiempo: 69315
AcX = -5013.00 | AcY = -246.00 | AcZ = 1389.00 | GiX = 2358.00 | GiY = -2187.00 | GiZ = -2060.00 | Tiempo: 69810
AcX = -4788.00 | AcY = -1147.00 | AcZ = 1200.00 | GiX = 2497.00 | GiY = -2202.00 | GiZ = -1667.00 | Tiempo: 70305
AcX = -4579.00 | AcY = -1982.00 | AcZ = 1225.00 | GiX = 2147.00 | GiY = -2189.00 | GiZ = -1292.00 | Tiempo: 70800
AcX = -4443.00 | AcY = -1074.00 | AcZ = 1319.00 | GiX = 1521.00 | GiY = -3032.00 | GiZ = -306.00 | Tiempo: 71295
AcX = -5432.00 | AcY = -1905.00 | AcZ = 1061.00 | GiX = 1514.00 | GiY = -2107.00 | GiZ = -2011.00 | Tiempo: 71790
AcX = -4511.00 | AcY = -1375.00 | AcZ = 2068.00 | GiX = 538.00 | GiY = -1998.00 | GiZ = -3629.00 | Tiempo: 72285
AcX = -5330.00 | AcY = 73.00 | AcZ = 1369.00 | GiX = 628.00 | GiY = -2653.00 | GiZ = -3433.00 | Tiempo: 72780
AcX = -6526.00 | AcY = -613.00 | AcZ = 1191.00 | GiX = 1168.00 | GiY = -2666.00 | GiZ = -2547.00 | Tiempo: 73275
AcX = -7202.00 | AcY = -1061.00 | AcZ = 773.00 | GiX = 1252.00 | GiY = -1681.00 | GiZ = -2632.00 | Tiempo: 73770
AcX = -7255.00 | AcY = 237.00 | AcZ = 530.00 | GiX = 1499.00 | GiY = -586.00 | GiZ = -2357.00 | Tiempo: 74265
AcX = -6606.00 | AcY = -292.00 | AcZ = 889.00 | GiX = 1817.00 | GiY = -110.00 | GiZ = -1272.00 | Tiempo: 74760
AcX = -6596.00 | AcY = -1085.00 | AcZ = 371.00 | GiX = 1609.00 | GiY = 187.00 | GiZ = -874.00 | Tiempo: 75255
AcX = -6543.00 | AcY = -1146.00 | AcZ = 508.00 | GiX = 1348.00 | GiY = 671.00 | GiZ = -906.00 | Tiempo: 75750
AcX = -6220.00 | AcY = -1233.00 | AcZ = 184.00 | GiX = 978.00 | GiY = 1084.00 | GiZ = -656.00 | Tiempo: 76245
AcX = -5591.00 | AcY = -1185.00 | AcZ = 493.00 | GiX = 663.00 | GiY = 1514.00 | GiZ = -507.00 | Tiempo: 76741
AcX = -5215.00 | AcY = -1065.00 | AcZ = 563.00 | GiX = 361.00 | GiY = 1662.00 | GiZ = -435.00 | Tiempo: 77236
AcX = -4747.00 | AcY = -935.00 | AcZ = 658.00 | GiX = 95.00 | GiY = 1992.00 | GiZ = -220.00 | Tiempo: 77731
AcX = -4038.00 | AcY = -862.00 | AcZ = 748.00 | GiX = -51.00 | GiY = 2175.00 | GiZ = -58.00 | Tiempo: 78226
AcX = -2895.00 | AcY = -842.00 | AcZ = 1013.00 | GiX = -164.00 | GiY = 2328.00 | GiZ = 167.00 | Tiempo: 78721
AcX = -1871.00 | AcY = -917.00 | AcZ = 1191.00 | GiX = -267.00 | GiY = 2097.00 | GiZ = 287.00 | Tiempo: 79216
AcX = -1272.00 | AcY = -837.00 | AcZ = 1305.00 | GiX = -429.00 | GiY = 1521.00 | GiZ = 287.00 | Tiempo: 79711
AcX = -1314.00 | AcY = -665.00 | AcZ = 1151.00 | GiX = -538.00 | GiY = 823.00 | GiZ = 242.00 | Tiempo: 80206
AcX = -1807.00 | AcY = -575.00 | AcZ = 837.00 | GiX = -570.00 | GiY = 485.00 | GiZ = 167.00 | Tiempo: 80701
AcX = -1886.00 | AcY = -544.00 | AcZ = 691.00 | GiX = -594.00 | GiY = 444.00 | GiZ = 36.00 | Tiempo: 81196
AcX = -1654.00 | AcY = -345.00 | AcZ = 655.00 | GiX = -571.00 | GiY = 448.00 | GiZ = -151.00 | Tiempo: 81691
AcX = -1422.00 | AcY = -440.00 | AcZ = 640.00 | GiX = -515.00 | GiY = 368.00 | GiZ = -421.00 | Tiempo: 82186
AcX = -1391.00 | AcY = -219.00 | AcZ = 544.00 | GiX = -529.00 | GiY = 179.00 | GiZ = -589.00 | Tiempo: 82681
AcX = -1533.00 | AcY = -39.00 | AcZ = 498.00 | GiX = -540.00 | GiY = -31.00 | GiZ = -477.00 | Tiempo: 83176
AcX = -1652.00 | AcY = -44.00 | AcZ = 383.00 | GiX = -555.00 | GiY = -232.00 | GiZ = -227.00 | Tiempo: 83671
AcX = -1740.00 | AcY = 61.00 | AcZ = 451.00 | GiX = -571.00 | GiY = -343.00 | GiZ = -88.00 | Tiempo: 84166
AcX = -1945.00 | AcY = 172.00 | AcZ = 439.00 | GiX = -510.00 | GiY = -483.00 | GiZ = -59.00 | Tiempo: 84661
AcX = -2312.00 | AcY = 287.00 | AcZ = 296.00 | GiX = -432.00 | GiY = -535.00 | GiZ = -16.00 | Tiempo: 85156
AcX = -2553.00 | AcY = 368.00 | AcZ = 259.00 | GiX = -281.00 | GiY = -465.00 | GiZ = 104.00 | Tiempo: 85651
AcX = -2796.00 | AcY = 336.00 | AcZ = 146.00 | GiX = -127.00 | GiY = -409.00 | GiZ = 151.00 | Tiempo: 86146
AcX = -3030.00 | AcY = 219.00 | AcZ = 26.00 | GiX = 52.00 | GiY = -212.00 | GiZ = 110.00 | Tiempo: 86641
AcX = -2934.00 | AcY = -15.00 | AcZ = -67.00 | GiX = 169.00 | GiY = 105.00 | GiZ = 89.00 | Tiempo: 87136
AcX = -2399.00 | AcY = -344.00 | AcZ = 6.00 | GiX = 222.00 | GiY = 356.00 | GiZ = 56.00 | Tiempo: 87631
AcX = -1781.00 | AcY = -587.00 | AcZ = 117.00 | GiX = 186.00 | GiY = 427.00 | GiZ = 28.00 | Tiempo: 88126
AcX = -1351.00 | AcY = -675.00 | AcZ = 288.00 | GiX = 37.00 | GiY = 219.00 | GiZ = 88.00 | Tiempo: 88621
AcX = -1435.00 | AcY = -633.00 | AcZ = 317.00 | GiX = -112.00 | GiY = -73.00 | GiZ = 147.00 | Tiempo: 89116
AcX = -1664.00 | AcY = -526.00 | AcZ = 307.00 | GiX = -222.00 | GiY = -224.00 | GiZ = 200.00 | Tiempo: 89611
AcX = -1889.00 | AcY = -460.00 | AcZ = 300.00 | GiX = -261.00 | GiY = -265.00 | GiZ = 217.00 | Tiempo: 90106
AcX = -2007.00 | AcY = -473.00 | AcZ = 265.00 | GiX = -249.00 | GiY = -183.00 | GiZ = 181.00 | Tiempo: 90601
