---- Opened the serial port COM7 ----
Offset MPU6050
Tiempo total: 1002
Offset AcX = 1195.31 | Offset AcY = 3883.34 | Offset AcZ = 256.59
Offset GiX = -91.78 | Offset GiY = -64.30 | Offset GiZ = -4.98
Resultados MPU6050
AcX = 1116.00 | AcY = 3772.00 | AcZ = 806.00 | GiX = -1457.00 | GiY = -7327.00 | GiZ = 226.00 | Tiempo: 46545
AcX = 1092.00 | AcY = 3734.00 | AcZ = 927.00 | GiX = -1603.00 | GiY = -7551.00 | GiZ = 162.00 | Tiempo: 47040
AcX = 1087.00 | AcY = 3750.00 | AcZ = 829.00 | GiX = -1730.00 | GiY = -7908.00 | GiZ = 128.00 | Tiempo: 47535
AcX = 1029.00 | AcY = 3786.00 | AcZ = 726.00 | GiX = -1877.00 | GiY = -8307.00 | GiZ = 155.00 | Tiempo: 48030
AcX = 1006.00 | AcY = 3777.00 | AcZ = 859.00 | GiX = -2026.00 | GiY = -8764.00 | GiZ = 208.00 | Tiempo: 48525
AcX = 969.00 | AcY = 3779.00 | AcZ = 840.00 | GiX = -2219.00 | GiY = -9149.00 | GiZ = 264.00 | Tiempo: 49020
AcX = 894.00 | AcY = 3767.00 | AcZ = 773.00 | GiX = -2389.00 | GiY = -9422.00 | GiZ = 268.00 | Tiempo: 49515
AcX = 883.00 | AcY = 3784.00 | AcZ = 688.00 | GiX = -2568.00 | GiY = -9818.00 | GiZ = 240.00 | Tiempo: 50010
AcX = 863.00 | AcY = 3770.00 | AcZ = 725.00 | GiX = -2679.00 | GiY = -10284.00 | GiZ = 247.00 | Tiempo: 50505
AcX = 765.00 | AcY = 3869.00 | AcZ = 728.00 | GiX = -2824.00 | GiY = -10756.00 | GiZ = 218.00 | Tiempo: 51000
AcX = 887.00 | AcY = 3773.00 | AcZ = 915.00 | GiX = -2961.00 | GiY = -10937.00 | GiZ = 207.00 | Tiempo: 51495
AcX = 699.00 | AcY = 3809.00 | AcZ = 304.00 | GiX = -3128.00 | GiY = -11140.00 | GiZ = 194.00 | Tiempo: 51990
AcX = 682.00 | AcY = 3823.00 | AcZ = 431.00 | GiX = -3347.00 | GiY = -11705.00 | GiZ = 146.00 | Tiempo: 52485
AcX = 724.00 | AcY = 3807.00 | AcZ = 702.00 | GiX = -3495.00 | GiY = -12159.00 | GiZ = 63.00 | Tiempo: 52980
AcX = 719.00 | AcY = 3830.00 | AcZ = 713.00 | GiX = -3631.00 | GiY = -12193.00 | GiZ = 8.00 | Tiempo: 53475
AcX = 638.00 | AcY = 3901.00 | AcZ = 516.00 | GiX = -3706.00 | GiY = -12360.00 | GiZ = -40.00 | Tiempo: 53970
AcX = 606.00 | AcY = 3938.00 | AcZ = 528.00 | GiX = -3821.00 | GiY = -12840.00 | GiZ = -82.00 | Tiempo: 54465
AcX = 573.00 | AcY = 3950.00 | AcZ = 650.00 | GiX = -3936.00 | GiY = -13140.00 | GiZ = -152.00 | Tiempo: 54960
AcX = 523.00 | AcY = 3971.00 | AcZ = 703.00 | GiX = -4030.00 | GiY = -13272.00 | GiZ = -244.00 | Tiempo: 55455
AcX = 498.00 | AcY = 4022.00 | AcZ = 528.00 | GiX = -4074.00 | GiY = -13410.00 | GiZ = -304.00 | Tiempo: 55950
AcX = 453.00 | AcY = 4076.00 | AcZ = 431.00 | GiX = -4087.00 | GiY = -13633.00 | GiZ = -376.00 | Tiempo: 56445
AcX = 420.00 | AcY = 4114.00 | AcZ = 442.00 | GiX = -4098.00 | GiY = -13812.00 | GiZ = -399.00 | Tiempo: 56940
AcX = 411.00 | AcY = 4144.00 | AcZ = 434.00 | GiX = -4064.00 | GiY = -13856.00 | GiZ = -424.00 | Tiempo: 57435
AcX = 424.00 | AcY = 4203.00 | AcZ = 268.00 | GiX = -3983.00 | GiY = -13750.00 | GiZ = -405.00 | Tiempo: 57930
AcX = 362.00 | AcY = 4259.00 | AcZ = 66.00 | GiX = -3865.00 | GiY = -13618.00 | GiZ = -330.00 | Tiempo: 58425
AcX = 365.00 | AcY = 4251.00 | AcZ = 42.00 | GiX = -3805.00 | GiY = -13623.00 | GiZ = -323.00 | Tiempo: 58920
AcX = 443.00 | AcY = 4250.00 | AcZ = 167.00 | GiX = -3750.00 | GiY = -13613.00 | GiZ = -335.00 | Tiempo: 59415
AcX = 478.00 | AcY = 4235.00 | AcZ = 80.00 | GiX = -3661.00 | GiY = -13425.00 | GiZ = -286.00 | Tiempo: 59910
AcX = 490.00 | AcY = 4234.00 | AcZ = -37.00 | GiX = -3625.00 | GiY = -13151.00 | GiZ = -212.00 | Tiempo: 60405
AcX = 495.00 | AcY = 4230.00 | AcZ = -100.00 | GiX = -3664.00 | GiY = -13020.00 | GiZ = -165.00 | Tiempo: 60900
AcX = 536.00 | AcY = 4182.00 | AcZ = -60.00 | GiX = -3743.00 | GiY = -12876.00 | GiZ = -148.00 | Tiempo: 61395
AcX = 485.00 | AcY = 4191.00 | AcZ = -95.00 | GiX = -3797.00 | GiY = -12648.00 | GiZ = -97.00 | Tiempo: 61890
AcX = 448.00 | AcY = 4143.00 | AcZ = -158.00 | GiX = -3861.00 | GiY = -12338.00 | GiZ = -108.00 | Tiempo: 62385
AcX = 440.00 | AcY = 4151.00 | AcZ = -236.00 | GiX = -3822.00 | GiY = -12043.00 | GiZ = -157.00 | Tiempo: 62880
AcX = 503.00 | AcY = 4082.00 | AcZ = -312.00 | GiX = -3722.00 | GiY = -11750.00 | GiZ = -220.00 | Tiempo: 63375
