Offset MPU6050
Tiempo total: 1215 (2000 muestras)
Offset AcX = 4108.95 | Offset AcY = -113.78 | Offset AcZ = 419.72
Offset GiX = -140.25 | Offset GiY = -93.30 | Offset GiZ = -0.74
Resultados MPU6050
AcX = 4118.00 | AcY = -94.00 | AcZ = 414.00 | GiX = -135.00 | GiY = -100.00 | GiZ = -11.00 | Tiempo: 69366
AcX = 4100.00 | AcY = -113.00 | AcZ = 432.00 | GiX = -135.00 | GiY = -92.00 | GiZ = 7.00 | Tiempo: 69964
AcX = 4110.00 | AcY = -133.00 | AcZ = 414.00 | GiX = -135.00 | GiY = -92.00 | GiZ = 20.00 | Tiempo: 70562
AcX = 4104.00 | AcY = -101.00 | AcZ = 446.00 | GiX = -133.00 | GiY = -95.00 | GiZ = 6.00 | Tiempo: 71160
AcX = 4109.00 | AcY = -114.00 | AcZ = 415.00 | GiX = -151.00 | GiY = -98.00 | GiZ = 12.00 | Tiempo: 71758
AcX = 4101.00 | AcY = -115.00 | AcZ = 422.00 | GiX = -124.00 | GiY = -93.00 | GiZ = 2.00 | Tiempo: 72356
AcX = 4110.00 | AcY = -96.00 | AcZ = 412.00 | GiX = -142.00 | GiY = -106.00 | GiZ = -6.00 | Tiempo: 72954
AcX = 4096.00 | AcY = -110.00 | AcZ = 393.00 | GiX = -128.00 | GiY = -101.00 | GiZ = -6.00 | Tiempo: 73552
AcX = 4089.00 | AcY = -121.00 | AcZ = 405.00 | GiX = -139.00 | GiY = -95.00 | GiZ = -4.00 | Tiempo: 74150
AcX = 4108.00 | AcY = -118.00 | AcZ = 430.00 | GiX = -131.00 | GiY = -87.00 | GiZ = -3.00 | Tiempo: 74748
AcX = 4113.00 | AcY = -122.00 | AcZ = 452.00 | GiX = -149.00 | GiY = -103.00 | GiZ = -16.00 | Tiempo: 75346
AcX = 4100.00 | AcY = -114.00 | AcZ = 402.00 | GiX = -142.00 | GiY = -81.00 | GiZ = -19.00 | Tiempo: 75944
AcX = 4105.00 | AcY = -116.00 | AcZ = 413.00 | GiX = -153.00 | GiY = -108.00 | GiZ = -5.00 | Tiempo: 76542
AcX = 4107.00 | AcY = -108.00 | AcZ = 417.00 | GiX = -146.00 | GiY = -95.00 | GiZ = -5.00 | Tiempo: 77140
AcX = 4104.00 | AcY = -113.00 | AcZ = 416.00 | GiX = -124.00 | GiY = -97.00 | GiZ = -11.00 | Tiempo: 77738
AcX = 4116.00 | AcY = -117.00 | AcZ = 428.00 | GiX = -148.00 | GiY = -89.00 | GiZ = 9.00 | Tiempo: 78336
AcX = 4111.00 | AcY = -122.00 | AcZ = 413.00 | GiX = -156.00 | GiY = -95.00 | GiZ = 4.00 | Tiempo: 78934
AcX = 4105.00 | AcY = -102.00 | AcZ = 405.00 | GiX = -128.00 | GiY = -96.00 | GiZ = -2.00 | Tiempo: 79532
AcX = 4114.00 | AcY = -117.00 | AcZ = 446.00 | GiX = -136.00 | GiY = -107.00 | GiZ = 10.00 | Tiempo: 80130
AcX = 4110.00 | AcY = -107.00 | AcZ = 425.00 | GiX = -143.00 | GiY = -103.00 | GiZ = 9.00 | Tiempo: 80728
AcX = 4112.00 | AcY = -119.00 | AcZ = 433.00 | GiX = -141.00 | GiY = -91.00 | GiZ = -3.00 | Tiempo: 81326
AcX = 4114.00 | AcY = -113.00 | AcZ = 435.00 | GiX = -149.00 | GiY = -90.00 | GiZ = 3.00 | Tiempo: 81924
AcX = 4112.00 | AcY = -106.00 | AcZ = 396.00 | GiX = -137.00 | GiY = -97.00 | GiZ = -10.00 | Tiempo: 82522
AcX = 4124.00 | AcY = -116.00 | AcZ = 410.00 | GiX = -142.00 | GiY = -100.00 | GiZ = 0.00 | Tiempo: 83120
AcX = 4115.00 | AcY = -119.00 | AcZ = 428.00 | GiX = -155.00 | GiY = -104.00 | GiZ = 12.00 | Tiempo: 83718
AcX = 4105.00 | AcY = -127.00 | AcZ = 416.00 | GiX = -139.00 | GiY = -79.00 | GiZ = 4.00 | Tiempo: 84316
AcX = 4095.00 | AcY = -99.00 | AcZ = 402.00 | GiX = -145.00 | GiY = -95.00 | GiZ = 10.00 | Tiempo: 84914
AcX = 4097.00 | AcY = -102.00 | AcZ = 426.00 | GiX = -141.00 | GiY = -92.00 | GiZ = -4.00 | Tiempo: 85512
AcX = 4108.00 | AcY = -122.00 | AcZ = 424.00 | GiX = -136.00 | GiY = -99.00 | GiZ = 6.00 | Tiempo: 86110
AcX = 4118.00 | AcY = -123.00 | AcZ = 411.00 | GiX = -141.00 | GiY = -91.00 | GiZ = -12.00 | Tiempo: 86708
AcX = 4099.00 | AcY = -110.00 | AcZ = 390.00 | GiX = -143.00 | GiY = -84.00 | GiZ = 0.00 | Tiempo: 87306
AcX = 4127.00 | AcY = -118.00 | AcZ = 438.00 | GiX = -152.00 | GiY = -100.00 | GiZ = -5.00 | Tiempo: 87904
AcX = 4098.00 | AcY = -98.00 | AcZ = 416.00 | GiX = -143.00 | GiY = -89.00 | GiZ = -8.00 | Tiempo: 88502
AcX = 4117.00 | AcY = -110.00 | AcZ = 424.00 | GiX = -133.00 | GiY = -102.00 | GiZ = -9.00 | Tiempo: 89100
AcX = 4110.00 | AcY = -110.00 | AcZ = 412.00 | GiX = -131.00 | GiY = -102.00 | GiZ = 1.00 | Tiempo: 89698
AcX = 4106.00 | AcY = -102.00 | AcZ = 422.00 | GiX = -142.00 | GiY = -87.00 | GiZ = -9.00 | Tiempo: 90296
AcX = 4107.00 | AcY = -111.00 | AcZ = 418.00 | GiX = -127.00 | GiY = -89.00 | GiZ = -1.00 | Tiempo: 90894
AcX = 4109.00 | AcY = -116.00 | AcZ = 416.00 | GiX = -146.00 | GiY = -89.00 | GiZ = -7.00 | Tiempo: 91492
AcX = 4117.00 | AcY = -100.00 | AcZ = 418.00 | GiX = -136.00 | GiY = -95.00 | GiZ = -2.00 | Tiempo: 92090
AcX = 4108.00 | AcY = -120.00 | AcZ = 410.00 | GiX = -131.00 | GiY = -102.00 | GiZ = 7.00 | Tiempo: 92688
AcX = 4098.00 | AcY = -103.00 | AcZ = 437.00 | GiX = -153.00 | GiY = -97.00 | GiZ = -6.00 | Tiempo: 93286
AcX = 4104.00 | AcY = -120.00 | AcZ = 410.00 | GiX = -162.00 | GiY = -89.00 | GiZ = -14.00 | Tiempo: 93884
AcX = 4111.00 | AcY = -108.00 | AcZ = 380.00 | GiX = -134.00 | GiY = -92.00 | GiZ = 0.00 | Tiempo: 94482
AcX = 4094.00 | AcY = -124.00 | AcZ = 406.00 | GiX = -125.00 | GiY = -99.00 | GiZ = 6.00 | Tiempo: 95080
AcX = 4099.00 | AcY = -132.00 | AcZ = 410.00 | GiX = -141.00 | GiY = -83.00 | GiZ = -12.00 | Tiempo: 95678
AcX = 4102.00 | AcY = -118.00 | AcZ = 410.00 | GiX = -149.00 | GiY = -100.00 | GiZ = 3.00 | Tiempo: 96276
AcX = 4115.00 | AcY = -122.00 | AcZ = 424.00 | GiX = -128.00 | GiY = -88.00 | GiZ = -14.00 | Tiempo: 96874
AcX = 4126.00 | AcY = -115.00 | AcZ = 420.00 | GiX = -126.00 | GiY = -104.00 | GiZ = -7.00 | Tiempo: 97472
AcX = 4100.00 | AcY = -98.00 | AcZ = 417.00 | GiX = -150.00 | GiY = -92.00 | GiZ = 1.00 | Tiempo: 98070
AcX = 4102.00 | AcY = -104.00 | AcZ = 401.00 | GiX = -144.00 | GiY = -102.00 | GiZ = -6.00 | Tiempo: 98668
AcX = 4096.00 | AcY = -112.00 | AcZ = 424.00 | GiX = -137.00 | GiY = -104.00 | GiZ = -6.00 | Tiempo: 99266
AcX = 4117.00 | AcY = -125.00 | AcZ = 408.00 | GiX = -150.00 | GiY = -84.00 | GiZ = 3.00 | Tiempo: 99864
AcX = 4117.00 | AcY = -105.00 | AcZ = 409.00 | GiX = -136.00 | GiY = -87.00 | GiZ = 8.00 | Tiempo: 100462
AcX = 4109.00 | AcY = -117.00 | AcZ = 405.00 | GiX = -148.00 | GiY = -98.00 | GiZ = -22.00 | Tiempo: 101060
AcX = 4111.00 | AcY = -122.00 | AcZ = 409.00 | GiX = -128.00 | GiY = -102.00 | GiZ = -17.00 | Tiempo: 101658
AcX = 4131.00 | AcY = -123.00 | AcZ = 413.00 | GiX = -134.00 | GiY = -109.00 | GiZ = -5.00 | Tiempo: 102256
AcX = 4110.00 | AcY = -126.00 | AcZ = 394.00 | GiX = -148.00 | GiY = -94.00 | GiZ = -5.00 | Tiempo: 102854
AcX = 4100.00 | AcY = -113.00 | AcZ = 418.00 | GiX = -140.00 | GiY = -104.00 | GiZ = 2.00 | Tiempo: 103452
AcX = 4106.00 | AcY = -109.00 | AcZ = 411.00 | GiX = -147.00 | GiY = -102.00 | GiZ = -4.00 | Tiempo: 104050
AcX = 4096.00 | AcY = -106.00 | AcZ = 427.00 | GiX = -122.00 | GiY = -87.00 | GiZ = 1.00 | Tiempo: 104648
AcX = 4108.00 | AcY = -123.00 | AcZ = 412.00 | GiX = -159.00 | GiY = -100.00 | GiZ = -2.00 | Tiempo: 105246
AcX = 4104.00 | AcY = -122.00 | AcZ = 390.00 | GiX = -144.00 | GiY = -95.00 | GiZ = -10.00 | Tiempo: 105844
AcX = 4106.00 | AcY = -120.00 | AcZ = 416.00 | GiX = -145.00 | GiY = -101.00 | GiZ = 1.00 | Tiempo: 106442
